GCM,RCP,Timestep,TransitionGroup,GroupType,Mean,Lower,Upper
CanESM2,rcp45,2082,URBANIZATION,Group,82.14,5,259.6799999999985
CanESM2,rcp45,2082,URBANIZATION: Annual->Developed [Type],Type,20.56313131313131,1,59
CanESM2,rcp45,2082,URBANIZATION: Forest->Developed [Type],Type,13.709859154929578,1,61.75999999999999
CanESM2,rcp45,2082,URBANIZATION: Grassland->Developed [Type],Type,15.10077519379845,1,52.10000000000008
CanESM2,rcp45,2082,URBANIZATION: Perennial->Developed [Type],Type,17.767857142857142,1,58.26999999999998
CanESM2,rcp45,2082,URBANIZATION: Shrubland->Developed [Type],Type,19.638483965014576,1,64.44000000000005
CanESM2,rcp45,2082,URBANIZATION: Wetland->Developed [Type],Type,1.644808743169399,1,4.539999999999992
CanESM2,rcp45,2083,AGRICULTURAL CHANGE,Group,105.7325,56,163
CanESM2,rcp45,2083,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.2025,50,155
CanESM2,rcp45,2083,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.714652956298201,1,17
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION,Group,107.8625,64.975,226.05999999999995
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,11.163727959697733,2,26.120000000000005
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,61.22,26,135
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.822055137844611,2,24
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,10.2525,2.9750000000000014,22
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.2222222222222223,1,6
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,11.124365482233502,1,36.41999999999996
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.295774647887324,1,6
CanESM2,rcp45,2083,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3668639053254439,1,3
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION,Group,147.055,47.975,232
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,14.6175,3,31.029999999999973
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,14.755,3,34
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,44.68,10.975000000000001,73
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,44.325,10,71
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.547738693467336,2,21
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.388471177944862,2,22
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.222811671087533,1,9
CanESM2,rcp45,2083,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.129032258064516,1,9
CanESM2,rcp45,2083,FIRE,Group,6103.536340852131,4377.6,7623.4400000000005
CanESM2,rcp45,2083,FIRE: Forest,Group,5057.982456140351,3456,6507.3
CanESM2,rcp45,2083,FIRE: Forest High Severity [Type],Type,514.765,344.925,660.0899999999999
CanESM2,rcp45,2083,FIRE: Forest Low Severity [Type],Type,3389.915,2325.7999999999997,4333.3
CanESM2,rcp45,2083,FIRE: Forest Medium Severity [Type],Type,1154.405,796.9250000000001,1483.06
CanESM2,rcp45,2083,FIRE: Grassland,Group,568.965,307.72499999999997,926.1199999999999
CanESM2,rcp45,2083,FIRE: Grassland High Severity [Type],Type,57.515,27,95.08999999999992
CanESM2,rcp45,2083,FIRE: Grassland Low Severity [Type],Type,380.665,207,611.1199999999999
CanESM2,rcp45,2083,FIRE: Grassland Medium Severity [Type],Type,130.785,69.975,212
CanESM2,rcp45,2083,FIRE: High Severity,Group,620.8425,439.8,783.06
CanESM2,rcp45,2083,FIRE: Low Severity,Group,4088.210659898477,2967.95,5117.0999999999995
CanESM2,rcp45,2083,FIRE: Medium Severity,Group,1392.85,999,1761.1499999999999
CanESM2,rcp45,2083,FIRE: Shrubland,Group,475.67,274.875,721.03
CanESM2,rcp45,2083,FIRE: Shrubland High Severity [Type],Type,48.5625,22.975,80
CanESM2,rcp45,2083,FIRE: Shrubland Low Severity [Type],Type,319.4475,187.975,479.17999999999984
CanESM2,rcp45,2083,FIRE: Shrubland Medium Severity [Type],Type,107.66,60.925000000000004,170.02999999999997
CanESM2,rcp45,2083,HARVEST,Group,728.4625,241,1147.2099999999998
CanESM2,rcp45,2083,INSECTS,Group,3678.0675,227.4000000000002,6499.259999999999
CanESM2,rcp45,2083,INSECTS: High Severity [Type],Type,34.4609375,6,61
CanESM2,rcp45,2083,INSECTS: Low Severity [Type],Type,3713.7102564102565,817.3750000000001,6448.24
CanESM2,rcp45,2083,INSECTS: Medium Severity [Type],Type,24.992227979274613,4,45
CanESM2,rcp45,2083,MANAGEMENT: Forest Clearcut [Type],Type,414.93,155,643.2099999999998
CanESM2,rcp45,2083,MANAGEMENT: Forest Thinning [Type],Type,313.5325,83.975,517.1199999999999
CanESM2,rcp45,2083,MANAGEMENT: Orchard Removal [Type],Type,553.8175,238,910.03
CanESM2,rcp45,2083,URBANIZATION,Group,81.8175,4,252.17999999999984
CanESM2,rcp45,2083,URBANIZATION: Annual->Developed [Type],Type,20.83969465648855,1,63.24000000000001
CanESM2,rcp45,2083,URBANIZATION: Forest->Developed [Type],Type,14.045070422535211,1,56.51999999999998
CanESM2,rcp45,2083,URBANIZATION: Grassland->Developed [Type],Type,14.617571059431524,1,53.420000000000016
CanESM2,rcp45,2083,URBANIZATION: Perennial->Developed [Type],Type,18.331619537275063,1,61.360000000000014
CanESM2,rcp45,2083,URBANIZATION: Shrubland->Developed [Type],Type,19.560606060606062,1,60.039999999999964
CanESM2,rcp45,2083,URBANIZATION: Wetland->Developed [Type],Type,1.855421686746988,1,5.049999999999983
CanESM2,rcp45,2084,AGRICULTURAL CHANGE,Group,105.6675,53.975,162.05999999999995
CanESM2,rcp45,2084,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,98.9125,47,154.05999999999995
CanESM2,rcp45,2084,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.9282051282051285,1,17
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION,Group,104.53,64,229
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,10.6925,2,25.029999999999973
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,57.9625,24.975,133.02999999999997
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,11.0678391959799,2,25.089999999999975
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,9.8725,2,19
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.102880658436214,1,5.739999999999981
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,11.805128205128206,1,44.65999999999997
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.234265734265734,1,6
CanESM2,rcp45,2084,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.4319526627218935,1,4
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION,Group,141.5425,48,230
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.74,3,32.02999999999997
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,14.1675,3,34
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,43.4,9.975000000000001,73.02999999999997
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,42.955,10,71
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.867167919799499,2,22.060000000000002
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.052763819095478,2,22
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,3.964959568733154,1,9
CanESM2,rcp45,2084,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,3.965699208443272,1,9
CanESM2,rcp45,2084,FIRE,Group,1351.5225,764.975,1975.6899999999994
CanESM2,rcp45,2084,FIRE: Forest,Group,906.1425,452.55,1358.03
CanESM2,rcp45,2084,FIRE: Forest High Severity [Type],Type,93.1075,45.925000000000004,142.02999999999997
CanESM2,rcp45,2084,FIRE: Forest Low Severity [Type],Type,604.42,311.40000000000003,904.06
CanESM2,rcp45,2084,FIRE: Forest Medium Severity [Type],Type,208.615,98.87500000000001,314
CanESM2,rcp45,2084,FIRE: Grassland,Group,258.0325,83.9,504
CanESM2,rcp45,2084,FIRE: Grassland High Severity [Type],Type,25.8875,6,54.059999999999945
CanESM2,rcp45,2084,FIRE: Grassland Low Severity [Type],Type,172.695,56.975,341.03
CanESM2,rcp45,2084,FIRE: Grassland Medium Severity [Type],Type,59.45,19.975,114.08999999999992
CanESM2,rcp45,2084,FIRE: High Severity,Group,138.335,74.97500000000001,203.05999999999995
CanESM2,rcp45,2084,FIRE: Low Severity,Group,902.26,517.875,1323.1499999999999
CanESM2,rcp45,2084,FIRE: Medium Severity,Group,310.9275,169.975,451.05999999999995
CanESM2,rcp45,2084,FIRE: Shrubland,Group,187.3475,82.97500000000001,327.03
CanESM2,rcp45,2084,FIRE: Shrubland High Severity [Type],Type,19.34,6.975000000000001,36.02999999999997
CanESM2,rcp45,2084,FIRE: Shrubland Low Severity [Type],Type,125.145,54,216.08999999999992
CanESM2,rcp45,2084,FIRE: Shrubland Medium Severity [Type],Type,42.8625,17,74
CanESM2,rcp45,2084,HARVEST,Group,705.54,241.92499999999998,1115
CanESM2,rcp45,2084,INSECTS,Group,2868.5025,131.95,5589.869999999999
CanESM2,rcp45,2084,INSECTS: High Severity [Type],Type,11.097435897435897,2,22
CanESM2,rcp45,2084,INSECTS: Low Severity [Type],Type,2906.25,356.27500000000003,5569.529999999999
CanESM2,rcp45,2084,INSECTS: Medium Severity [Type],Type,9.752551020408163,2,19
CanESM2,rcp45,2084,MANAGEMENT: Forest Clearcut [Type],Type,400.6975,155.975,621.06
CanESM2,rcp45,2084,MANAGEMENT: Forest Thinning [Type],Type,304.8425,86.97500000000001,515.06
CanESM2,rcp45,2084,MANAGEMENT: Orchard Removal [Type],Type,570.3025,232.925,926.03
CanESM2,rcp45,2084,URBANIZATION,Group,78.1925,4,243.14999999999986
CanESM2,rcp45,2084,URBANIZATION: Annual->Developed [Type],Type,19.67005076142132,1,57.20999999999998
CanESM2,rcp45,2084,URBANIZATION: Forest->Developed [Type],Type,13.203389830508474,1,49
CanESM2,rcp45,2084,URBANIZATION: Grassland->Developed [Type],Type,14.142857142857142,1,47
CanESM2,rcp45,2084,URBANIZATION: Perennial->Developed [Type],Type,17.76392572944297,1,54.71999999999997
CanESM2,rcp45,2084,URBANIZATION: Shrubland->Developed [Type],Type,19.984709480122323,1,51.21999999999997
CanESM2,rcp45,2084,URBANIZATION: Wetland->Developed [Type],Type,1.6176470588235294,1,4
CanESM2,rcp45,2085,AGRICULTURAL CHANGE,Group,109.7725,54.975,160.1199999999999
CanESM2,rcp45,2085,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,102.7375,49.975,155.02999999999997
CanESM2,rcp45,2085,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,7.1421319796954315,1,17
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION,Group,103.265,63,214.02999999999997
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,10.736842105263158,2,24.060000000000002
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,56.71,24,129
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.582914572864322,2,24
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,9.894736842105264,3,20
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.066147859922179,1,5
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,12.479166666666666,1,41.50999999999999
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.428030303030303,1,6
CanESM2,rcp45,2085,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3806451612903226,1,3
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION,Group,146.5325,47,232.1199999999999
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,14.6175,3,34
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,14.436090225563909,3,32.06
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,44.065,10,73.02999999999997
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,44.5625,11,74.05999999999995
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.415,2,23
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.3775,2,22.029999999999973
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.138743455497382,1,10
CanESM2,rcp45,2085,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.315104166666667,1,10
CanESM2,rcp45,2085,FIRE,Group,2308.1075,1297,3344
CanESM2,rcp45,2085,FIRE: Forest,Group,1758.6516290726818,879.15,2699.9
CanESM2,rcp45,2085,FIRE: Forest High Severity [Type],Type,179.19,86.85000000000002,286.05999999999995
CanESM2,rcp45,2085,FIRE: Forest Low Severity [Type],Type,1177.915,580.95,1795.09
CanESM2,rcp45,2085,FIRE: Forest Medium Severity [Type],Type,402.7725,203.85000000000002,611.2699999999998
CanESM2,rcp45,2085,FIRE: Grassland,Group,303.9975,141.97500000000002,517.1199999999999
CanESM2,rcp45,2085,FIRE: Grassland High Severity [Type],Type,31.2225,12,56.02999999999997
CanESM2,rcp45,2085,FIRE: Grassland Low Severity [Type],Type,203.3625,94,354.26999999999975
CanESM2,rcp45,2085,FIRE: Grassland Medium Severity [Type],Type,69.4125,28.975,119.02999999999997
CanESM2,rcp45,2085,FIRE: High Severity,Group,235.2775,132.95,345.0899999999999
CanESM2,rcp45,2085,FIRE: Low Severity,Group,1545.0775,863.5500000000001,2238.3599999999997
CanESM2,rcp45,2085,FIRE: Medium Severity,Group,527.7525,291.95,762.0899999999999
CanESM2,rcp45,2085,FIRE: Shrubland,Group,244.2325,113.975,417.2399999999998
CanESM2,rcp45,2085,FIRE: Shrubland High Severity [Type],Type,24.865,9,44.059999999999945
CanESM2,rcp45,2085,FIRE: Shrubland Low Severity [Type],Type,163.8,73.92500000000001,288
CanESM2,rcp45,2085,FIRE: Shrubland Medium Severity [Type],Type,55.5675,23,98.02999999999997
CanESM2,rcp45,2085,HARVEST,Group,729.115,250.925,1138.09
CanESM2,rcp45,2085,INSECTS,Group,4112.273182957393,130.9,7558.200000000001
CanESM2,rcp45,2085,INSECTS: High Severity [Type],Type,51.85459183673469,13,97.53999999999996
CanESM2,rcp45,2085,INSECTS: Low Severity [Type],Type,4149.448453608247,665.125,7500.009999999999
CanESM2,rcp45,2085,INSECTS: Medium Severity [Type],Type,35.823076923076925,6,65
CanESM2,rcp45,2085,MANAGEMENT: Forest Clearcut [Type],Type,410.6475,161,647.1199999999999
CanESM2,rcp45,2085,MANAGEMENT: Forest Thinning [Type],Type,318.4675,94.9,510
CanESM2,rcp45,2085,MANAGEMENT: Orchard Removal [Type],Type,545.5025,232.85,873.0899999999999
CanESM2,rcp45,2085,URBANIZATION,Group,82.695,4,316.1199999999999
CanESM2,rcp45,2085,URBANIZATION: Annual->Developed [Type],Type,20.523809523809526,1,63
CanESM2,rcp45,2085,URBANIZATION: Forest->Developed [Type],Type,15.128571428571428,1,76.05999999999995
CanESM2,rcp45,2085,URBANIZATION: Grassland->Developed [Type],Type,15.244623655913978,1,57
CanESM2,rcp45,2085,URBANIZATION: Perennial->Developed [Type],Type,18.260526315789473,1,59.25999999999999
CanESM2,rcp45,2085,URBANIZATION: Shrubland->Developed [Type],Type,20.196374622356494,1,68
CanESM2,rcp45,2085,URBANIZATION: Wetland->Developed [Type],Type,1.670391061452514,1,4.659999999999997
CanESM2,rcp45,2086,AGRICULTURAL CHANGE,Group,108.25,52.900000000000006,160
CanESM2,rcp45,2086,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,101.655,47.95,155
CanESM2,rcp45,2086,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.729591836734694,1,17
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION,Group,107.225,62.975,224.02999999999997
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,10.699248120300751,1.950000000000001,26
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,58.5025,23.975,131.02999999999997
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.909774436090226,2,26
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,9.9225,3,19
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.2659176029962547,1,5.019999999999982
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,13.7,1,46
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.604240282685512,1,7
CanESM2,rcp45,2086,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3653846153846154,1,3
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION,Group,143.6375,49.975,228
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,14.403508771929825,3,33
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,14.3325,3,32
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,43.5575,10,71
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,43.285,10,72
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.300751879699249,2,23
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.06516290726817,2,21
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.209677419354839,1,9
CanESM2,rcp45,2086,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.212534059945504,1,9
CanESM2,rcp45,2086,FIRE,Group,3008.7475,1891.8500000000001,4096.839999999999
CanESM2,rcp45,2086,FIRE: Forest,Group,2298.384422110553,1409.25,3248.18
CanESM2,rcp45,2086,FIRE: Forest High Severity [Type],Type,232.105,134.97500000000002,331.2399999999998
CanESM2,rcp45,2086,FIRE: Forest Low Severity [Type],Type,1542.105,929,2166.5099999999993
CanESM2,rcp45,2086,FIRE: Forest Medium Severity [Type],Type,524.7175,321.825,744.0899999999999
CanESM2,rcp45,2086,FIRE: Grassland,Group,381.0475,162.9,650.4199999999996
CanESM2,rcp45,2086,FIRE: Grassland High Severity [Type],Type,38.5175,14,67
CanESM2,rcp45,2086,FIRE: Grassland Low Severity [Type],Type,254.785,109.95,435.2099999999998
CanESM2,rcp45,2086,FIRE: Grassland Medium Severity [Type],Type,87.745,37,152
CanESM2,rcp45,2086,FIRE: High Severity,Group,304.3825,192,417.1199999999999
CanESM2,rcp45,2086,FIRE: Low Severity,Group,2016.8825,1270.75,2747.4799999999996
CanESM2,rcp45,2086,FIRE: Medium Severity,Group,687.4825,438.875,926.2699999999998
CanESM2,rcp45,2086,FIRE: Shrubland,Group,328.7725,152,549.2399999999998
CanESM2,rcp45,2086,FIRE: Shrubland High Severity [Type],Type,33.76,14,58
CanESM2,rcp45,2086,FIRE: Shrubland Low Severity [Type],Type,219.9925,101.975,368.2099999999998
CanESM2,rcp45,2086,FIRE: Shrubland Medium Severity [Type],Type,75.02,34.925000000000004,129.02999999999997
CanESM2,rcp45,2086,HARVEST,Group,710.22,242.95000000000002,1135.09
CanESM2,rcp45,2086,INSECTS,Group,3532.5,202.75000000000003,6465.439999999999
CanESM2,rcp45,2086,INSECTS: High Severity [Type],Type,27.304568527918782,5.650000000000002,51.20999999999998
CanESM2,rcp45,2086,INSECTS: Low Severity [Type],Type,3538.852331606218,414.125,6425.949999999999
CanESM2,rcp45,2086,INSECTS: Medium Severity [Type],Type,21.73007712082262,4,40
CanESM2,rcp45,2086,MANAGEMENT: Forest Clearcut [Type],Type,408.845,152.975,642.0899999999999
CanESM2,rcp45,2086,MANAGEMENT: Forest Thinning [Type],Type,301.375,89.975,507.14999999999986
CanESM2,rcp45,2086,MANAGEMENT: Orchard Removal [Type],Type,565.1,230.95000000000002,928.3299999999997
CanESM2,rcp45,2086,URBANIZATION,Group,76.7325,3.9750000000000014,243.05999999999995
CanESM2,rcp45,2086,URBANIZATION: Annual->Developed [Type],Type,19.44191919191919,1,59
CanESM2,rcp45,2086,URBANIZATION: Forest->Developed [Type],Type,12.985714285714286,1,47.58999999999992
CanESM2,rcp45,2086,URBANIZATION: Grassland->Developed [Type],Type,14.002695417789758,1,50.89999999999998
CanESM2,rcp45,2086,URBANIZATION: Perennial->Developed [Type],Type,17.449086161879894,1,56
CanESM2,rcp45,2086,URBANIZATION: Shrubland->Developed [Type],Type,18.84179104477612,1,46.960000000000036
CanESM2,rcp45,2086,URBANIZATION: Wetland->Developed [Type],Type,1.6602564102564104,1,4.349999999999994
CanESM2,rcp45,2087,AGRICULTURAL CHANGE,Group,107.555,52.975,163
CanESM2,rcp45,2087,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,100.3225,46.975,154.05999999999995
CanESM2,rcp45,2087,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,7.380102040816326,1,17
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION,Group,104.875,62.975,225
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,10.484924623115578,1,26
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,58.8725,22,138.08999999999992
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.21859296482412,1,24
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,10.087719298245615,3,21
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.047808764940239,1,6
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,11.870558375634518,1.825000000000001,39.41999999999996
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.379928315412186,1,5.659999999999968
CanESM2,rcp45,2087,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.53551912568306,1,3
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION,Group,145.07,48,228.02999999999997
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,14.93,2,35
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,15.0725,3,35.02999999999997
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,43.8225,9,74
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,43.5025,10,72
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.2975,2,21
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.885,2,21
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,3.989637305699482,1,9
CanESM2,rcp45,2087,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,3.957333333333333,1,9
CanESM2,rcp45,2087,FIRE,Group,1902.64,1009.5000000000001,2708.12
CanESM2,rcp45,2087,FIRE: Forest,Group,1426.1275,587.875,2184.7199999999993
CanESM2,rcp45,2087,FIRE: Forest High Severity [Type],Type,144.3375,60,223
CanESM2,rcp45,2087,FIRE: Forest Low Severity [Type],Type,955.53,389.90000000000003,1470.09
CanESM2,rcp45,2087,FIRE: Forest Medium Severity [Type],Type,326.26,136,505.2999999999997
CanESM2,rcp45,2087,FIRE: Grassland,Group,268.9325,108.85,476.5699999999995
CanESM2,rcp45,2087,FIRE: Grassland High Severity [Type],Type,27.57,9.975000000000001,50
CanESM2,rcp45,2087,FIRE: Grassland Low Severity [Type],Type,180.345,67.975,335.03
CanESM2,rcp45,2087,FIRE: Grassland Medium Severity [Type],Type,61.0175,23.975,112.11999999999989
CanESM2,rcp45,2087,FIRE: High Severity,Group,193.445,100.975,283.05999999999995
CanESM2,rcp45,2087,FIRE: Low Severity,Group,1274.43,694.1750000000001,1813.09
CanESM2,rcp45,2087,FIRE: Medium Severity,Group,434.765,226.9,629.0899999999999
CanESM2,rcp45,2087,FIRE: Shrubland,Group,207.58,92.9,357.0899999999999
CanESM2,rcp45,2087,FIRE: Shrubland High Severity [Type],Type,21.5375,8,40
CanESM2,rcp45,2087,FIRE: Shrubland Low Severity [Type],Type,138.555,62,240
CanESM2,rcp45,2087,FIRE: Shrubland Medium Severity [Type],Type,47.4875,20,83.02999999999997
CanESM2,rcp45,2087,HARVEST,Group,723.1025,247,1132.09
CanESM2,rcp45,2087,INSECTS,Group,3550.9975,301.7750000000003,6456.389999999998
CanESM2,rcp45,2087,INSECTS: High Severity [Type],Type,37.452685421994886,8,66
CanESM2,rcp45,2087,INSECTS: Low Severity [Type],Type,3576.853846153846,809.5000000000002,6422.8499999999985
CanESM2,rcp45,2087,INSECTS: Medium Severity [Type],Type,28.005194805194805,4.600000000000001,51
CanESM2,rcp45,2087,MANAGEMENT: Forest Clearcut [Type],Type,409.735,159,639.06
CanESM2,rcp45,2087,MANAGEMENT: Forest Thinning [Type],Type,313.3675,90,515
CanESM2,rcp45,2087,MANAGEMENT: Orchard Removal [Type],Type,557.5625,228.975,938.06
CanESM2,rcp45,2087,URBANIZATION,Group,79.505,4,244.17999999999984
CanESM2,rcp45,2087,URBANIZATION: Annual->Developed [Type],Type,20.210659898477157,2,58.20999999999998
CanESM2,rcp45,2087,URBANIZATION: Forest->Developed [Type],Type,13.77456647398844,1,48.94999999999993
CanESM2,rcp45,2087,URBANIZATION: Grassland->Developed [Type],Type,14.215223097112862,1,49
CanESM2,rcp45,2087,URBANIZATION: Perennial->Developed [Type],Type,18.345549738219894,1,60.56999999999999
CanESM2,rcp45,2087,URBANIZATION: Shrubland->Developed [Type],Type,18.653061224489797,1,48.48000000000002
CanESM2,rcp45,2087,URBANIZATION: Wetland->Developed [Type],Type,1.6845637583892616,1,4
CanESM2,rcp45,2088,AGRICULTURAL CHANGE,Group,106.505,56.95,163
CanESM2,rcp45,2088,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.39,51,156.02999999999997
